Gridpacks with displaced vertex                                                                                                                                       width           ctau (mm)
-------------------------------                                                                                                                                       -----           ---------
HeavyNeutrino_lljj_M-10_V-0.000147309198627_e_massiveAndCKM_LO                                                                                                 1.084208e-15           182.001026                     
HeavyNeutrino_lljj_M-10_V-0.000147309198627_mu_massiveAndCKM_LO                                                                                                1.082662e-15           182.260916                     
HeavyNeutrino_lljj_M-10_V-0.000208566536146_e_Dirac_cc_massiveAndCKM_LO                                                                                        1.084013e-15           182.033765                     
HeavyNeutrino_lljj_M-10_V-0.000208566536146_e_Dirac_massiveAndCKM_LO                                                                                           1.084013e-15           182.033765                     
HeavyNeutrino_lljj_M-10_V-0.000208566536146_mu_Dirac_cc_massiveAndCKM_LO                                                                                       1.083499e-15           182.120120                     
HeavyNeutrino_lljj_M-10_V-0.000208566536146_mu_Dirac_massiveAndCKM_LO                                                                                          1.083499e-15           182.120120                     
HeavyNeutrino_lljj_M-10_V-0.000793725393319_e_massiveAndCKM_LO                                                                                                 3.147696e-14             6.268933                     
HeavyNeutrino_lljj_M-10_V-0.000793725393319_mu_massiveAndCKM_LO                                                                                                3.143222e-14             6.277857                     
HeavyNeutrino_lljj_M-10_V-0.00112249721603_e_Dirac_cc_massiveAndCKM_LO                                                                                         3.139901e-14             6.284496                     
HeavyNeutrino_lljj_M-10_V-0.00112249721603_e_Dirac_massiveAndCKM_LO                                                                                            3.139901e-14             6.284496                     
HeavyNeutrino_lljj_M-10_V-0.00112249721603_mu_Dirac_cc_massiveAndCKM_LO                                                                                        3.138357e-14             6.287588                     
HeavyNeutrino_lljj_M-10_V-0.00112249721603_mu_Dirac_massiveAndCKM_LO                                                                                           3.138357e-14             6.287588                     
HeavyNeutrino_lljj_M-10_V-0.00152_tau_Dirac_cc_massiveAndCKM_LO                                                                                                4.887669e-14             4.037241                     
HeavyNeutrino_lljj_M-15_V-2.13775583264e-05_e_massiveAndCKM_LO                                                                                                 1.825854e-16          1080.737933                     
HeavyNeutrino_lljj_M-15_V-2.13775583264e-05_mu_massiveAndCKM_LO                                                                                                1.825840e-16          1080.746220                     
HeavyNeutrino_lljj_M-15_V-3.02158898595e-05_e_Dirac_cc_massiveAndCKM_LO                                                                                        1.820043e-16          1084.188494                     
HeavyNeutrino_lljj_M-15_V-3.02158898595e-05_e_Dirac_massiveAndCKM_LO                                                                                           1.820043e-16          1084.188494                     
HeavyNeutrino_lljj_M-15_V-3.02158898595e-05_mu_Dirac_cc_massiveAndCKM_LO                                                                                       1.816568e-16          1086.262490                     
HeavyNeutrino_lljj_M-15_V-3.02158898595e-05_mu_Dirac_massiveAndCKM_LO                                                                                          1.816568e-16          1086.262490                     
HeavyNeutrino_lljj_M-15_V-4.77493455453e-05_e_massiveAndCKM_LO                                                                                                 9.109214e-16           216.623485                     
HeavyNeutrino_lljj_M-15_V-4.77493455453e-05_mu_massiveAndCKM_LO                                                                                                9.109185e-16           216.624174                     
HeavyNeutrino_lljj_M-15_V-6.76017751246e-05_e_Dirac_cc_massiveAndCKM_LO                                                                                        9.110210e-16           216.599802                     
HeavyNeutrino_lljj_M-15_V-6.76017751246e-05_e_Dirac_massiveAndCKM_LO                                                                                           9.110210e-16           216.599802                     
HeavyNeutrino_lljj_M-15_V-6.76017751246e-05_mu_Dirac_cc_massiveAndCKM_LO                                                                                       9.092870e-16           217.012855                     
HeavyNeutrino_lljj_M-15_V-6.76017751246e-05_mu_Dirac_massiveAndCKM_LO                                                                                          9.092870e-16           217.012855                     
HeavyNeutrino_lljj_M-1_V-0.0949736805647_e_massiveAndCKM_LO                                                                                                    2.789638e-15            70.735690                     
HeavyNeutrino_lljj_M-1_V-0.0949736805647_mu_massiveAndCKM_LO                                                                                                   2.658593e-15            74.222330                     
HeavyNeutrino_lljj_M-1_V-0.13416407865_e_Dirac_cc_massiveAndCKM_LO                                                                                             2.784807e-15            70.858400                     
HeavyNeutrino_lljj_M-1_V-0.13416407865_e_Dirac_massiveAndCKM_LO                                                                                                2.784807e-15            70.858400                     
HeavyNeutrino_lljj_M-1_V-0.13416407865_mu_Dirac_cc_massiveAndCKM_LO                                                                                            2.661962e-15            74.128394                     
HeavyNeutrino_lljj_M-1_V-0.13416407865_mu_Dirac_massiveAndCKM_LO                                                                                               2.661962e-15            74.128394                     
HeavyNeutrino_lljj_M-1_V-0.212367605816_e_massiveAndCKM_LO                                                                                                     1.394820e-14            14.147128                     
HeavyNeutrino_lljj_M-1_V-0.212367605816_mu_massiveAndCKM_LO                                                                                                    1.329293e-14            14.844505                     
HeavyNeutrino_lljj_M-1_V-0.300333148354_e_Dirac_cc_massiveAndCKM_LO                                                                                            1.395492e-14            14.140315                     
HeavyNeutrino_lljj_M-1_V-0.300333148354_e_Dirac_massiveAndCKM_LO                                                                                               1.395492e-14            14.140315                     
